producto,descripcion,unidad,ult_venta,ult_compra,costo_prom,existencias,ventas_monto,ventas_cant
CERCAR 5/8,CERAMICO 12.5MMØX15CM 7 BAR 2.8MMØ,PZ,,2023-08-07,7.46496,659,0,0
CERCAR3/4,CERAMICO 17MMØX10CM 7 BARRE 4MMØ,PZ,,2023-04-14,14.61536,0,0,0
CERSEP 1/2,"CERAMICO SEPARADOR P/CARTUCHO  ALTA 1/2""",PZ,,2022-10-20,13,3,0,0
CERSEP5/8,"CERAMICO SEPARADOR P/CARTUCHO ALTA 5/8""",PZ,,2023-05-15,20.5531,377,0,0
CERTCH34X101-6,CERAMICO T/CHOCOLATE 34MM X 101MM X 7MM,PZ,,2023-03-27,67.39306,242,0,0
CERTRENA2,CERAMICO T/TREN TIPO A 2 BARR LISA,PZ,,2022-12-21,0.39425,250,0,0
CERTRENA3,CERAMICO T/TREN TIPO A 3 BARR LISA,PZ,,2022-12-21,0.47725,2807,0,0
CERTRENA6,CERAMICO T/TREN TIPO A 6 BARR LISA,PZ,,2022-12-21,0.93375,2531,0,0
CERTRENR2,CERAMICO T/TREN RANURADO 2 BARR,PZ,,2022-10-10,2.58017,0,0,0
CERTRENR6,CERAMICO T/TREN RANURADO 6 BARR,PZ,,2022-10-10,5.1025,118,0,0
CIFV0001,CINTA FIV AISLANTE  TUK 12 MM,PZ,2023-05-30,2023-07-24,210,17,19449.36,51
CIFV0002,CINTA FIV AISLANTE TUK 18 MM,PZ,2023-07-26,2023-07-12,336.0625,8,15838.47,29
CIFV0003,"CINTA FV 2 ANCHO X 1/16"" ESPESOR""",M,2023-07-26,2023-06-30,6.91933,80,2789.24,20
CIFV0004,"CINTA FIV 1ANCHO X 1/8"" ESPESOR""",MT,2023-05-12,2023-06-30,7.10542,151.4,7512.87,102
CIFV0005,"CINTA FIV 2 ANCHO X 1/8"" ESPESOR""",MT,2023-07-31,2023-06-30,12.2893,57,12719.4,368.5
CIN80.1.588X.170,CINTA NICROMEL 1.58X0.170X4.39 OHM,M,,2023-05-08,4107.6,1.71,0,0
CIN80.3.97X0.101,CINTA NICROMEL 3.97X0.101X2.8 OHM,M,,2023-05-08,5119.41,2.88,0,0
CIN803.18X.127,CINTA NICROMEL 3.18X0.127X2.8OHMS,PZ,2023-06-29,2023-06-12,2541.85515,2.49,51.72,2
CIN803.18X0.100,CINTA NICROMEL 3.18X0.100X4 OHM,M,2020-02-19,2023-02-13,6.58267,1077.49,0,0
CIN803.1X.254,CINTA NICROMEL 3.1X0.254X1.4 OHM,M,2023-07-13,2023-06-09,16.76724,1448.16,1096.75,31
CIN803.1X0.254,CINTA NICROMEL 3.1X0.254X1.4 OHM,M,2023-06-06,2023-01-27,25.28037,101.68,2010,42
CIN803.90X0.127,CINTA NICROMEL 3.9X0.127X2.3 OHM,M,2023-01-04,2022-10-10,10.77622,179.64,7158.19,25.327
CIN804.5X.25,CINTA NICROMEL 4.5X.25X.969 OHM,M,2023-03-16,2023-03-27,17.24778,364.17,5745.43,101
CIN804.70X.203,CINTA NICROMEL 4.7X0.203X1.2 OHM,M,2023-08-03,2023-03-31,30.75474,18.542,23547.52,413
CIN804.76X0.127,CINTA NICROMEL 4.76X0.127X2.16 OHM,MT,2023-05-03,2023-06-30,3439.36,3.75,35,1
"COLCHAFC2""","COLCHA FIBRA CERAMICA 2""ESP",PZ,2023-07-13,2023-07-26,3715.74,1,6206.6,7.7
"COLFVALUM1.1/2""","COLCHA FV C/CARA ALUMINIZADA 1.1/2""",M,2023-07-28,2023-07-19,58.53605,94.16,102687.61,995
CONECAZUL,TOPE A.T.  FORRO ZAUL CAL. 16-14,PZ,2021-02-04,2023-07-24,0.7779,392,0,0
COROSINOX3/16,"CONECTOR INOX NPT 3/16 - 1/2"" X 1/2""""",PZ,,2023-04-14,120,19,0,0
CORTADORCUARZO,CORTADORES DE TUBO DE CUARZO,PZ,,2023-04-28,259.31429,3,0,0
CORTETUBO,CORTE DE TUBO,PZ,,2023-05-29,12,5,0,0
"CTE0.005*2""CAM","CINTA TEFLON C/A 0.005""X2""",M,2023-08-08,2023-05-17,28.3951,197,168614.73,3241.7
"CTE0.005*3""CA","CINTA TEFLON C/A 0.005""X3""",M,2023-07-11,2023-07-25,41.59718,66,575574.54,7425
CTE0.005*3/4C/AD,"CINTA TEFLON C/A 0.005X3/4""",M,2023-07-04,2023-06-09,10.4727,165,25579.45,1320
CTE0.0051/2C/AD,"CINTA TEFLON C/A 0.005X1/2""",M,2023-08-07,2023-06-09,7.2121,66,18319.31,1419
CTE0.00511/2C/AD,"CINTA TEFLON C/A 0.005X1 1/2""""",M,2023-05-29,2023-06-09,20.9571,99,13062.14,333
CTE0.0051C/AD,"CINTA TEFLON C/A 0.005X1""",M,2023-08-07,2023-06-09,14.42422,231,81344.95,3007
"CTE0.005X2""S/A","CINTA TEFLON S/A 0.005""X2""",M,2023-06-29,2023-05-30,14.81094,0,10003.55,306.7
